Windows,"Sysmon,registry_event",Win-Sysmon
1,Win-Sysmon-1-Create-Process
2,Win-Sysmon-2-FileCreation-Time-Changed
3,"Win-Sysmon-3-Network-Connection-IPv4,Win-Sysmon-3-Network-Connection-IPv6"
5,Win-Sysmon-5-Process-Terminated
6,Win-Sysmon-6-Driver-Loaded
7,Win-Sysmon-7-Image-Loaded
8,Win-Sysmon-8-CreateRemoteThread
9,Win-Sysmon-9-RawAccessRead
10,Win-Sysmon-10-ProcessAccess
11,Win-Sysmon-11-FileCreate
12,"Win-Sysmon-12-Registry-CreateKey,Win-Sysmon-12-Registry-DeleteKey,Win-Sysmon-12-Registry-CreateValue,Win-Sysmon-12-Registry-DeleteValue"
13,Win-Sysmon-13-Registry-SetValue
14,"Win-Sysmon-14-Registry-RenameKey,Win-Sysmon-14-Registry-RenameValue"
15,Win-Sysmon-15-FileCreateStreamHash
16,Win-Sysmon-16-Config-State-Changed
17,Win-Sysmon-17-PipeCreated
18,Win-Sysmon-18-PipeConnected
19,Win-Sysmon-19-WMIEventFilterActivity
20,Win-Sysmon-20-WMIEventConsumerActivity
21,Win-Sysmon-21-WMIEventConsumerToFilterActivity
22,Win-Sysmon-22-DNSQuery
#######
Windows,System,Win-System
104,Win-System-Microsoft-Windows-Eventlog-104
7036,Win-System-Service-Control-Manager-7036-.*
7045,Win-System-Service-Control-Manager-7045
######
Windows,"PowerShell,powershell-classic",Win-PowerShell
######
Windows,Security,Win-Security
4768,"Win-Security-4768-success,Win-Security-4768-failure"
4769,"Win-Security-4769-failure,Win-Security-4769-success"
######
Windows,"App,application",Win-App
#####
Windows,Wmi_event,Win-Sysmon
19,Win-Sysmon-19-WMI-Event-Filter-Activity
20,Win-Sysmon-20-WMI-Event-Consumer-Activity
21,Win-Sysmon-21-WMI-Event-ConsumerToFilter-Activity
####
Windows,"Appxdeployment,appxdeployment-server,appxpackaging-om",Win-AppXDeployment-Server
400,Win-AppXDeployment-Server-400
401,Win-AppXDeployment-Server-401
157,Win-AppXDeployment-Server-157
#####
Windows,firewall-as,Win-Firewall-AS
2002,Win-Firewall-AS-2002
2083,Win-Firewall-AS-2083
2003,Win-Firewall-AS-2003
2082,Win-Firewall-AS-2082
2008,Win-Firewall-AS-2008
####
Windows,Provider_Name,Win-PrintService
216,Win-PrintService-Setup-Succeeded
325,Win-PrintService-Remove-Printer-Failed
322,Win-PrintService-Publish-Printer-Failed
323,Win-PrintService-Publish-Printer-Failed
326,Win-PrintService-Publish-Printer-Failed
327,Win-PrintService-Publish-Printer-Failed
328,Win-PrintService-Publish-Printer-Failed
329,Win-PrintService-Publish-Printer-Failed
331,Win-PrintService-Publish-Printer-Failed
333,Win-PrintService-Publish-Printer-Failed
######
Windows,security-mitigations,Win-Security-Mitigation
11,Win-Security-Mitigation-11
12,Win-Security-Mitigation-12
######
Windows,dns-client,Win-DNS-Client
3008,Win-DNS-Client-3008
######
Windows,bits-client,Win-App-Microsoft-Windows-Bits-Client
16403,Win-App-Microsoft-Windows-Bits-Client-16403
#######
Windows,diagnosis-scripted,Win-Diagnostics-Scripted
101,Win-Diagnostics-Scripted-101
#####
Windows,msexchange-management,Win-MSExchange-Management
6,Win-MSExchange-Management-6
#####
Windows,file_block,Win-Sysmon
27,Win-Sysmon-27-FileBlockExecutable
######
Windows,shell-core,Win-Shell-Core
28115,Win-Shell-Core-28115
#####
Windows,codeintegrity-operational,
3023,Win-CodeIntegrity-Operational-3023
3033,Win-CodeIntegrity-Operational-3033
3077,Win-CodeIntegrity-Operational-3077
#####
Windows,openssh,Win-OpenSSH
4,Win-OpenSSH-4



